Scientific name,Common name,Order,Family,Trophic level,Num. w plastic,Total num. sampled,FO of plastic,Mean num particles per indv,Habitat,Commercial status,IUCN status,Oceanographic province,Method type,Year of collection,Publication year,Reference,Polymer identification,Blanks used,Clean lab procedures,Size detection threshold (mm),Degree of prior sampling,Plastic FO in PICES region,Residency,Distribution in PICES region,Distribution globally,Already an indicator?,Threat of human exposure,Total bioindicator score,Notes
Myctophum nitidulum,Pearly lanternfish,Myctophiformes,Myctophidae,3.4,4,25,0.16,0.24,mesopelagic,,LC,NPTG,2,2009,2011,Davison and Asch 2011,none,vaguely mentioned,yes,0.007,2,2,4,3,4,2,1,18,
Branchiostegus japonicus,Horsehead tilefish,Perciformes,Malacanthidae,3.4,18,18,1,4.6,demersal,,LC,CHIN,3,2015,2017,Jabeen et al. 2017,FTIR,lab blank,yes,0.005,2,3,4,1,3,2,3,18,
Terapon jarbua,Jarbua terapon,Perciformes,Terapontidae,3.9,18,18,1,3,demersal,,LC,CHIN,3,2015,2017,Jabeen et al. 2017,FTIR,lab blank,yes,0.005,2,4,4,1,3,2,2,18,
Boleophthalmus pectinirostris,Great blue spotted mudskipper,Perciformes,Gobiidae,2,9,9,1,5.3,demersal,,Not assessed,CHIN,3,2017,2019,Su et al. 2019,FTIR,lab blank,yes,0.02,2,4,4,1,3,2,2,18,
Myctophum lychnobium,NA,Myctophiformes,Myctophidae,3.2,7,17,0.411764706,NA,bathypelagic,,LC,NPTG,1,Feb. -April 2007,2013,Van Noord 2013,none,NA,NA,NA,2,3,4,2,4,2,1,18,
Myctophum nitidulum,Pearly lanternfish,Myctophiformes,Myctophidae,3.4,0,1,0,0,bathypelagic,,LC,NPTG,1,Feb. -April 2007,2013,Van Noord 2013,none,NA,NA,NA,2,2,4,3,4,2,1,18,
Cleisthenes herzensteini,Pointhead flouder,Pleuronectiformes,Pleuronectidae,3.4,12,36,0.33,0.44,demersal,,Not assessed,CHIN,3,Summer 2016,2019,Zhao et al. 2019,FTIR,lab blank,yes,0.00045,2,3,4,1,3,2,3,18,
Erisphex pottii,NA,Scorpaeniformes,Aploactinidae,4.1,34,120,0.28,0.32,demersal,,Not assessed,CHIN,3,Summer 2016,2019,Zhao et al. 2019,FTIR,lab blank,yes,0.00045,4,3,4,1,3,2,1,18,
Hexagrammos otakii,Fat greenling,Scorpaeniformes,Hexagrammidae,3.8,13,40,0.33,0.38,demersal,,Not assessed,CHIN,3,Summer 2016,2019,Zhao et al. 2019,FTIR,lab blank,yes,0.00045,2,3,4,1,3,2,3,18,
Larimichthys polyactis,yellow croaker,Perciformes,Sciaenidae,3.7,11,30,0.37,0.97,benthopelagic,,Not assessed,CHIN,3,Summer 2016,2019,Zhao et al. 2019,FTIR,lab blank,yes,0.00045,2,3,4,1,3,2,3,18,
Liparis tanakae,Tanaka's snailfish,Scorpaeniformes,Liparidae,4.3,78,245,0.32,0.36,demersal,,Not assessed,CHIN,3,Summer 2016,2019,Zhao et al. 2019,FTIR,lab blank,yes,0.00045,4,3,4,1,3,2,1,18,
Pampus argenteus,Silver pomfret,Perciformes,Stromateidae,3.3,2,10,0.2,0.2,benthopelagic,,Not assessed,CHIN,3,Summer 2016,2019,Zhao et al. 2019,FTIR,lab blank,yes,0.00045,2,3,4,1,3,2,3,18,
Konosirus punctatus,Dotted gizzard shad,Clupeiformes,Clupeidae,2.9,NA,5,NA,NA,pelagic-neritic,minor commercial,LC,CHIN,3,,2020,Huang et al. 2020,FTIR,lab blank,yes,0.02,2,3,4,1,3,2,3,18,
Terapon jarbua,Jarbua terapon,Perciformes,Terapontidae,3.9,NA,5,NA,NA,demersal,,LC,CHIN,3,,2020,Huang et al. 2020,FTIR,lab blank,yes,0.02,2,4,4,1,3,2,2,18,
Konosirus punctatus,Dotted gizzard shad,Clupeiformes,Clupeidae,2.9,9,15,0.6,0.67,pelagic-neritic,minor commercial,LC,CHIN,3,,2020,Lin et al. 2020,FTIR,lab blank,yes,0.02,2,3,4,1,3,2,3,18,
Boleophthalmus pectinirostris,Great blue spotted mudskipper,Perciformes,Gobiidae,2,9,18,0.5,0.06,demersal,,Not assessed,CHIN,3,,2020,Lin et al. 2020,FTIR,lab blank,yes,0.02,2,4,4,1,3,2,2,18,
Branchiostegus auratus,Yellow horsehead,Perciformes,Latilidae,3.5,4,15,0.266666667,0.26,demersal,commercial,Not assessed,CHIN,3,,2020,Lin et al. 2020,FTIR,lab blank,yes,0.02,2,3,4,1,3,2,3,18,
Branchiostegus japonicus,Horsehead tilefish ,Perciformes,Latilidae,3.4,6,15,0.4,0.27,demersal,commercial,LC,CHIN,3,,2020,Lin et al. 2020,FTIR,lab blank,yes,0.02,2,3,4,1,3,2,3,18,
Pampus argenteus,Silver pomfret,Perciformes,Stromateidae,3.3,7,10,0.7,0.4,benthopelagic,,Not assessed,CHIN,3,,2020,Lin et al. 2020,FTIR,lab blank,yes,0.02,2,3,4,1,3,2,3,18,
Pseudosciaena crocea,Large yellow croaker,Perciformes,Sciaenidae,3.7,7,15,0.466666667,0.74,benthopelagic,highly commerical,CR,CHIN,3,,2020,Lin et al. 2020,FTIR,lab blank,yes,0.02,2,3,4,1,3,2,3,18,
Siganus fuscescens,Mottled spinefoot,Perciformes,Siganidae,2,10,18,0.555555556,0.17,reef-associated,commercial,LC,CHIN,3,,2020,Lin et al. 2020,FTIR,lab blank,yes,0.02,2,3,4,1,3,2,3,18,
Inegocia japonica,Japanese flathead ,Scorpaeniformes ,Platycephalidae,3.7,3,6,0.5,0.5,demersal,minor commercial,LC,CHIN,3,,2020,Lin et al. 2020,FTIR,lab blank,yes,0.02,3,3,4,1,3,2,2,18,
Konosirus punctatus,Dotted gizzard shad ,Clupeiformes,Clupeidae,2.9,9,10,0.9,2.1,pelagic-neritic,minor commercial,LC,CHIN,3,,2020,Wu et al. 2020,FTIR,lab blank,yes,0.0007,2,3,4,1,3,2,3,18,
